parliamentarian_1,parliamentarian_2,proportion_agreement
"Kaiser, Johannes","Rojas, Camila",0.9499341238471674
"Araya, Cristián","Serrano, Daniela",0.9499341238471674
"Barchiesi, Chiara","Giordano, Andrés",0.9499341238471674
"Cuello, Luis Alberto","Weisse, Flor",0.9499341238471674
"Castillo, Nathalie","Donoso, Felipe",0.9499341238471674
"Castillo, Nathalie","Naveillan, Gloria",0.9512516469038208
"Matheson, Christian","Ramírez, Matías",0.9512516469038208
"Castillo, Nathalie","Sulantay, Marco Antonio",0.9512516469038208
"Cariola, Karol","Donoso, Felipe",0.9512516469038208
"Barrera, Boris","Moreno, Benjamín",0.9512516469038208
"Romero, Agustín","Sáez, Jaime",0.9512516469038208
"Romero, Leonidas","Tello, Carolina",0.9512516469038208
"Cuello, Luis Alberto","Ojeda, Mauricio",0.9512516469038208
"Romero, Agustín","Ñanco, Ericka",0.9512516469038208
"Cornejo, Eduardo","Hertz, Carmen",0.9525691699604744
"Barchiesi, Chiara","Gazmuri, Ana María",0.9525691699604744
"Alessandri, Jorge","Barrera, Boris",0.9525691699604744
"Hertz, Carmen","Matheson, Christian",0.9525691699604744
"Benavente, Gustavo","Ramírez, Matías",0.9538866930171278
"Acevedo, María Candelaria","Bobadilla, Sergio",0.9538866930171278
"Romero, Agustín","Winter, Gonzalo",0.9538866930171278
"Barrera, Boris","Cornejo, Eduardo",0.9538866930171278
"Giordano, Andrés","Meza, José Carlos",0.9538866930171278
"Castillo, Nathalie","Moreira, Cristhian",0.9538866930171278
"Concha, Sara","Winter, Gonzalo",0.9538866930171278
"Jürgensen, Harry","Tello, Carolina",0.9552042160737813
"Kaiser, Johannes","Ramírez, Matías",0.9552042160737813
"Berger, Bernardo","Hertz, Carmen",0.9565217391304348
"Flores, Camila","Nuyado, Emilia",0.9565217391304348
"Lilayu, Daniel","Mix, Claudia",0.9565217391304348
"Giordano, Andrés","Romero, Agustín",0.9565217391304348
"González, Félix","Ojeda, Mauricio",0.9565217391304348
"Giordano, Andrés","Ojeda, Mauricio",0.9565217391304348
"Sáez, Jaime","Sánchez, Luis",0.9565217391304348
"Pérez, Catalina","Sánchez, Luis",0.9565217391304348
"Meza, José Carlos","Nuyado, Emilia",0.9578392621870883
"Meza, José Carlos","Placencia, Alejandra",0.9578392621870883
"Fries, Lorena","Weisse, Flor",0.9578392621870883
"Trisotti, Renzo","Winter, Gonzalo",0.9578392621870883
"Barrera, Boris","Donoso, Felipe",0.9578392621870883
"González, Félix","Romero, Agustín",0.9591567852437418
"Ramírez, Matías","Sulantay, Marco Antonio",0.9591567852437418
"Naveillan, Gloria","Tello, Carolina",0.9591567852437418
"Hertz, Carmen","Sauerbaum, Frank",0.9591567852437418
"Pizarro, Lorena","Sulantay, Marco Antonio",0.9591567852437418
"Donoso, Felipe","Hertz, Carmen",0.9591567852437418
"Cuello, Luis Alberto","Lilayu, Daniel",0.9591567852437418
"Matheson, Christian","Serrano, Daniela",0.9604743083003953
"Hertz, Carmen","Lilayu, Daniel",0.9604743083003953
"Giordano, Andrés","Jürgensen, Harry",0.9604743083003953
"Schubert, Stephan","Tello, Carolina",0.9604743083003953
"Morales, Javiera","Sánchez, Luis",0.9604743083003953
"Romero, Agustín","Veloso, Consuelo",0.9617918313570487
"Cuello, Luis Alberto","Naveillan, Gloria",0.9617918313570487
"Riquelme, Marcela","Sánchez, Luis",0.9617918313570487
"Barchiesi, Chiara","Yeomans, Gael",0.9617918313570487
"Weisse, Flor","Winter, Gonzalo",0.9631093544137023
"Hertz, Carmen","Oyarzo, Rubén Darío",0.9631093544137023
"Flores, Camila","Giordano, Andrés",0.9631093544137023
"Brito, Jorge","Kaiser, Johannes",0.9631093544137023
"Cariola, Karol","Concha, Sara",0.9631093544137023
"Bobadilla, Sergio","Morales, Javiera",0.9631093544137023
"Ojeda, Mauricio","Tello, Carolina",0.9644268774703557
"Delgado, Viviana","Meza, José Carlos",0.9644268774703557
"Moreira, Cristhian","Pizarro, Lorena",0.9644268774703557
"Serrano, Daniela","Weisse, Flor",0.9644268774703557
"Acevedo, María Candelaria","Ramírez, Guillermo",0.9644268774703557
"De la Carrera, Gonzalo","Delgado, Viviana",0.9644268774703557
"Barrera, Boris","Benavente, Gustavo",0.9644268774703557
"Cariola, Karol","Weisse, Flor",0.9644268774703557
"Giordano, Andrés","Weisse, Flor",0.9657444005270093
"González, Félix","Jürgensen, Harry",0.9657444005270093
"Barchiesi, Chiara","Winter, Gonzalo",0.9657444005270093
"Mellado, Miguel","Pizarro, Lorena",0.9657444005270093
"Ramírez, Guillermo","Serrano, Daniela",0.9657444005270093
"Veloso, Consuelo","Weisse, Flor",0.9657444005270093
"Celis, Andrés","Winter, Gonzalo",0.9657444005270093
"Cid, Sofía","Veloso, Consuelo",0.9657444005270093
"Araya, Cristián","Placencia, Alejandra",0.9657444005270093
"Cornejo, Eduardo","Serrano, Daniela",0.9657444005270093
"Naveillan, Gloria","Placencia, Alejandra",0.9657444005270093
"Barrera, Boris","Matheson, Christian",0.9670619235836627
"Bobadilla, Sergio","Gazmuri, Ana María",0.9670619235836627
"Bugueño, Félix","Naveillan, Gloria",0.9670619235836627
"Cariola, Karol","Schubert, Stephan",0.9670619235836627
"Naranjo, Jaime","Romero, Leonidas",0.9670619235836627
"Sánchez, Luis","Ñanco, Ericka",0.9670619235836627
"Araya, Cristián","Cuello, Luis Alberto",0.9670619235836627
"Jürgensen, Harry","Placencia, Alejandra",0.9670619235836627
"Bobadilla, Sergio","Giordano, Andrés",0.9670619235836627
"Naveillan, Gloria","Rojas, Camila",0.9670619235836627
"Celis, Andrés","Rojas, Camila",0.9683794466403162
"Gazmuri, Ana María","Martínez, Cristóbal",0.9683794466403162
"Delgado, Viviana","Urruticoechea, Cristóbal",0.9683794466403162
"Araya, Cristián","Ibáñez, Diego",0.9696969696969697
"Cornejo, Eduardo","Fries, Lorena",0.9696969696969697
"Barchiesi, Chiara","Palma, Hernán",0.9696969696969697
"Pizarro, Lorena","Romero, Leonidas",0.9696969696969697
"Gazmuri, Ana María","Matheson, Christian",0.9696969696969697
"Castillo, Nathalie","Trisotti, Renzo",0.9710144927536232
"Kaiser, Johannes","Naranjo, Jaime",0.9710144927536232
"Bobadilla, Sergio","Yeomans, Gael",0.9710144927536232
"Meza, José Carlos","Yeomans, Gael",0.9710144927536232
"Riquelme, Marcela","Schubert, Stephan",0.9710144927536232
"Nuyado, Emilia","Sánchez, Luis",0.9710144927536232
"Nuyado, Emilia","Romero, Agustín",0.9710144927536232
"Cariola, Karol","Sulantay, Marco Antonio",0.9710144927536232
"Barchiesi, Chiara","Pérez, Catalina",0.9710144927536232
"Bugueño, Félix","Meza, José Carlos",0.9723320158102767
"Giordano, Andrés","Lilayu, Daniel",0.9723320158102767
"Ojeda, Mauricio","Ñanco, Ericka",0.9723320158102767
"Castillo, Nathalie","Coloma, Juan Antonio",0.9723320158102767
"Bobadilla, Sergio","Tello, Carolina",0.9723320158102767
"Bello, María Francisca","Kaiser, Johannes",0.9723320158102767
"Acevedo, María Candelaria","Coloma, Juan Antonio",0.9723320158102767
"Bravo, Marta","Castillo, Nathalie",0.9723320158102767
"Araya, Cristián","González, Félix",0.9723320158102767
"Giordano, Andrés","Schubert, Stephan",0.9736495388669302
"Barrera, Boris","Flores, Camila",0.9736495388669302
"Acevedo, María Candelaria","Flores, Camila",0.9736495388669302
"Barrera, Boris","Martínez, Cristóbal",0.9736495388669302
"Cuello, Luis Alberto","Jürgensen, Harry",0.9736495388669302
"Delgado, Viviana","Jürgensen, Harry",0.9736495388669302
"Benavente, Gustavo","Serrano, Daniela",0.9736495388669302
"Cuello, Luis Alberto","Donoso, Felipe",0.9736495388669302
"Barchiesi, Chiara","Sáez, Jaime",0.9736495388669302
"Beltrán, Juan Carlos","Hertz, Carmen",0.9749670619235836
"Benavente, Gustavo","Cuello, Luis Alberto",0.9749670619235836
"Melo, Daniel","Ojeda, Mauricio",0.9749670619235836
"Lilayu, Daniel","Riquelme, Marcela",0.9749670619235836
"Gazmuri, Ana María","Meza, José Carlos",0.9749670619235836
"Barrera, Boris","Ramírez, Guillermo",0.9749670619235836
"Labra, Paula","Pizarro, Lorena",0.9749670619235836
